"행정구역","2024년01월_계_총인구수","2024년01월_계_연령구간인구수","2024년01월_계_0~9세","2024년01월_계_10~19세","2024년01월_계_20~29세","2024년01월_계_30~39세","2024년01월_계_40~49세","2024년01월_계_50~59세","2024년01월_계_60~69세","2024년01월_계_70~79세","2024년01월_계_80~89세","2024년01월_계_90~99세","2024년01월_계_100세 이상","2024년01월_남_총인구수","2024년01월_남_연령구간인구수","2024년01월_남_0~9세","2024년01월_남_10~19세","2024년01월_남_20~29세","2024년01월_남_30~39세","2024년01월_남_40~49세","2024년01월_남_50~59세","2024년01월_남_60~69세","2024년01월_남_70~79세","2024년01월_남_80~89세","2024년01월_남_90~99세","2024년01월_남_100세 이상","2024년01월_여_총인구수","2024년01월_여_연령구간인구수","2024년01월_여_0~9세","2024년01월_여_10~19세","2024년01월_여_20~29세","2024년01월_여_30~39세","2024년01월_여_40~49세","2024년01월_여_50~59세","2024년01월_여_60~69세","2024년01월_여_70~79세","2024년01월_여_80~89세","2024년01월_여_90~99세","2024년01월_여_100세 이상","2024년02월_계_총인구수","2024년02월_계_연령구간인구수","2024년02월_계_0~9세","2024년02월_계_10~19세","2024년02월_계_20~29세","2024년02월_계_30~39세","2024년02월_계_40~49세","2024년02월_계_50~59세","2024년02월_계_60~69세","2024년02월_계_70~79세","2024년02월_계_80~89세","2024년02월_계_90~99세","2024년02월_계_100세 이상","2024년02월_남_총인구수","2024년02월_남_연령구간인구수","2024년02월_남_0~9세","2024년02월_남_10~19세","2024년02월_남_20~29세","2024년02월_남_30~39세","2024년02월_남_40~49세","2024년02월_남_50~59세","2024년02월_남_60~69세","2024년02월_남_70~79세","2024년02월_남_80~89세","2024년02월_남_90~99세","2024년02월_남_100세 이상","2024년02월_여_총인구수","2024년02월_여_연령구간인구수","2024년02월_여_0~9세","2024년02월_여_10~19세","2024년02월_여_20~29세","2024년02월_여_30~39세","2024년02월_여_40~49세","2024년02월_여_50~59세","2024년02월_여_60~69세","2024년02월_여_70~79세","2024년02월_여_80~89세","2024년02월_여_90~99세","2024년02월_여_100세 이상","2024년03월_계_총인구수","2024년03월_계_연령구간인구수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총인구수","2024년03월_남_연령구간인구수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총인구수","2024년03월_여_연령구간인구수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상","2024년04월_계_총인구수","2024년04월_계_연령구간인구수","2024년04월_계_0~9세","2024년04월_계_10~19세","2024년04월_계_20~29세","2024년04월_계_30~39세","2024년04월_계_40~49세","2024년04월_계_50~59세","2024년04월_계_60~69세","2024년04월_계_70~79세","2024년04월_계_80~89세","2024년04월_계_90~99세","2024년04월_계_100세 이상","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"대전광역시 서구 (3017000000)","464,741","464,741","31,132","46,282","68,211","63,498","72,062","77,216","61,782","29,018","13,429","2,057","54","228,082","228,082","16,017","23,858","34,502","32,921","34,990","37,413","29,352","13,416","5,097","506","10","236,659","236,659","15,115","22,424","33,709","30,577","37,072","39,803","32,430","15,602","8,332","1,551","44","464,764","464,764","31,010","46,228","68,063","63,394","72,031","77,356","61,914","29,167","13,470","2,077","54","228,112","228,112","15,977","23,795","34,419","32,912","35,001","37,453","29,449","13,468","5,115","513","10","236,652","236,652","15,033","22,433","33,644","30,482","37,030","39,903","32,465","15,699","8,355","1,564","44","464,115","464,115","30,758","46,062","67,889","63,412","71,661","77,240","62,065","29,279","13,609","2,088","52","227,732","227,732","15,850","23,667","34,318","32,923","34,836","37,379","29,537","13,518","5,178","516","10","236,383","236,383","14,908","22,395","33,571","30,489","36,825","39,861","32,528","15,761","8,431","1,572","42","463,328","463,328","30,477","45,999","67,551","63,395","71,308","77,286","62,118","29,336","13,693","2,113","52","227,316","227,316","15,679","23,653","34,127","32,923","34,654","37,405","29,572","13,546","5,220","528","9","236,012","236,012","14,798","22,346","33,424","30,472","36,654","39,881","32,546","15,790","8,473","1,585","43"
"대전광역시 유성구 (3020000000)","367,240","367,240","32,345","38,549","53,086","57,655","60,767","58,362","41,636","15,986","7,465","1,350","39","186,028","186,028","16,679","19,974","28,673","30,528","30,072","28,864","20,521","7,684","2,713","318","2","181,212","181,212","15,666","18,575","24,413","27,127","30,695","29,498","21,115","8,302","4,752","1,032","37","367,500","367,500","32,244","38,522","53,208","57,523","60,716","58,498","41,830","16,050","7,522","1,350","37","186,135","186,135","16,616","19,938","28,713","30,498","30,085","28,905","20,618","7,709","2,733","317","3","181,365","181,365","15,628","18,584","24,495","27,025","30,631","29,593","21,212","8,341","4,789","1,033","34","367,727","367,727","32,083","38,418","53,435","57,571","60,584","58,471","42,040","16,197","7,531","1,360","37","186,201","186,201","16,529","19,878","28,820","30,539","29,999","28,862","20,716","7,792","2,742","320","4","181,526","181,526","15,554","18,540","24,615","27,032","30,585","29,609","21,324","8,405","4,789","1,040","33","367,634","367,634","31,865","38,348","53,464","57,584","60,357","58,568","42,187","16,271","7,583","1,371","36","186,255","186,255","16,448","19,824","28,871","30,590","29,895","28,910","20,774","7,848","2,770","321","4","181,379","181,379","15,417","18,524","24,593","26,994","30,462","29,658","21,413","8,423","4,813","1,050","32"
"대전광역시 대덕구 (3023000000)","169,583","169,583","8,870","14,390","21,302","19,279","23,525","33,028","28,476","13,131","6,653","894","35","86,190","86,190","4,555","7,506","11,674","10,770","12,206","16,725","14,098","6,048","2,395","211","2","83,393","83,393","4,315","6,884","9,628","8,509","11,319","16,303","14,378","7,083","4,258","683","33","169,558","169,558","8,809","14,395","21,185","19,251","23,439","33,065","28,631","13,164","6,689","894","36","86,158","86,158","4,528","7,505","11,623","10,744","12,160","16,725","14,188","6,062","2,409","211","3","83,400","83,400","4,281","6,890","9,562","8,507","11,279","16,340","14,443","7,102","4,280","683","33","169,899","169,899","8,740","14,363","21,174","19,478","23,321","33,121","28,785","13,273","6,695","912","37","86,357","86,357","4,494","7,490","11,624","10,868","12,109","16,754","14,303","6,087","2,406","219","3","83,542","83,542","4,246","6,873","9,550","8,610","11,212","16,367","14,482","7,186","4,289","693","34","170,196","170,196","8,736","14,304","21,224","19,573","23,244","33,195","28,928","13,306","6,730","919","37","86,489","86,489","4,485","7,471","11,630","10,931","12,073","16,776","14,366","6,114","2,420","221","2","83,707","83,707","4,251","6,833","9,594","8,642","11,171","16,419","14,562","7,192","4,310","698","35"
"울산광역시  (3100000000)","1,103,402","1,103,402","78,510","109,492","122,180","136,706","177,695","205,025","169,803","72,060","28,093","3,758","80","567,081","567,081","40,312","57,076","69,514","74,283","91,575","102,971","85,679","34,743","10,182","737","9","536,321","536,321","38,198","52,416","52,666","62,423","86,120","102,054","84,124","37,317","17,911","3,021","71","1,102,161","1,102,161","77,870","109,161","121,481","136,086","177,629","205,002","170,405","72,502","28,156","3,784","85","566,604","566,604","39,982","56,942","69,211","74,006","91,629","102,917","85,969","34,939","10,249","748","12","535,557","535,557","37,888","52,219","52,270","62,080","86,000","102,085","84,436","37,563","17,907","3,036","73","1,101,336","1,101,336","77,349","108,897","120,852","136,211","176,874","204,714","171,150","73,090","28,286","3,827","86","566,352","566,352","39,713","56,834","68,921","74,180","91,239","102,734","86,407","35,229","10,329","755","11","534,984","534,984","37,636","52,063","51,931","62,031","85,635","101,980","84,743","37,861","17,957","3,072","75","1,101,059","1,101,059","76,781","109,050","120,503","136,317","176,235","204,576","171,808","73,386","28,459","3,857","87","566,255","566,255","39,426","56,902","68,770","74,300","90,913","102,627","86,731","35,430","10,373","772","11","534,804","534,804","37,355","52,148","51,733","62,017","85,322","101,949","85,077","37,956","18,086","3,085","76"
"울산광역시 중구 (3111000000)","208,568","208,568","13,431","19,191","21,747","24,443","31,423","38,975","35,346","16,716","6,486","798","12","105,484","105,484","6,940","10,138","12,277","13,122","16,069","19,312","17,229","7,792","2,440","164","1","103,084","103,084","6,491","9,053","9,470","11,321","15,354","19,663","18,117","8,924","4,046","634","11","208,249","208,249","13,316","19,118","21,552","24,382","31,394","38,916","35,433","16,797","6,525","803","13","105,369","105,369","6,891","10,097","12,205","13,078","16,085","19,275","17,263","7,843","2,465","165","2","102,880","102,880","6,425","9,021","9,347","11,304","15,309","19,641","18,170","8,954","4,060","638","11","208,044","208,044","13,227","19,074","21,386","24,419","31,266","38,809","35,575","16,909","6,559","808","12","105,311","105,311","6,846","10,075","12,117","13,130","16,028","19,209","17,356","7,900","2,479","169","2","102,733","102,733","6,381","8,999","9,269","11,289","15,238","19,600","18,219","9,009","4,080","639","10","208,000","208,000","13,135","19,071","21,287","24,520","31,158","38,760","35,682","16,953","6,601","821","12","105,265","105,265","6,797","10,063","12,066","13,177","15,975","19,179","17,408","7,942","2,484","172","2","102,735","102,735","6,338","9,008","9,221","11,343","15,183","19,581","18,274","9,011","4,117","649","10"
"울산광역시 남구 (3114000000)","306,762","306,762","19,720","28,097","38,298","40,330","46,647","59,042","47,108","19,599","7,088","822","11","156,534","156,534","10,140","14,723","21,505","22,078","23,408","29,121","23,362","9,350","2,677","169","1","150,228","150,228","9,580","13,374","16,793","18,252","23,239","29,921","23,746","10,249","4,411","653","10","306,068","306,068","19,500","27,970","38,047","40,139","46,563","58,955","47,218","19,736","7,087","840","13","156,192","156,192","10,007","14,679","21,392","21,990","23,397","29,051","23,416","9,403","2,677","179","1","149,876","149,876","9,493","13,291","16,655","18,149","23,166","29,904","23,802","10,333","4,410","661","12","305,615","305,615","19,332","27,897","37,864","40,154","46,291","58,820","47,361","19,904","7,133","847","12","156,022","156,022","9,916","14,676","21,329","21,998","23,263","28,967","23,500","9,485","2,707","180","1","149,593","149,593","9,416","13,221","16,535","18,156","23,028","29,853","23,861","10,419","4,426","667","11","305,346","305,346","19,184","27,948","37,767","40,147","46,037","58,752","47,493","19,981","7,171","854","12","155,935","155,935","9,837","14,694","21,315","22,022","23,147","28,923","23,548","9,543","2,712","193","1","149,411","149,411","9,347","13,254","16,452","18,125","22,890","29,829","23,945","10,438","4,459","661","11"
"울산광역시 동구 (3117000000)","152,104","152,104","11,370","16,043","15,477","18,812","26,898","24,428","24,838","10,588","3,245","389","16","79,360","79,360","5,787","8,431","8,763","10,471","14,564","12,567","12,108","5,372","1,221","73","3","72,744","72,744","5,583","7,612","6,714","8,341","12,334","11,861","12,730","5,216","2,024","316","13","151,796","151,796","11,231","16,018","15,422","18,544","26,977","24,397","24,872","10,676","3,256","386","17","79,227","79,227","5,711","8,407","8,757","10,330","14,610","12,557","12,132","5,412","1,233","75","3","72,569","72,569","5,520","7,611","6,665","8,214","12,367","11,840","12,740","5,264","2,023","311","14","151,648","151,648","11,121","15,978","15,391","18,498","26,901","24,394","24,909","10,769","3,275","395","17","79,160","79,160","5,657","8,380","8,738","10,308","14,597","12,553","12,152","5,454","1,242","76","3","72,488","72,488","5,464","7,598","6,653","8,190","12,304","11,841","12,757","5,315","2,033","319","14","151,663","151,663","11,013","16,014","15,360","18,476","26,827","24,439","24,989","10,815","3,314","399","17","79,167","79,167","5,596","8,409","8,727","10,308","14,539","12,584","12,183","5,479","1,262","77","3","72,496","72,496","5,417","7,605","6,633","8,168","12,288","11,855","12,806","5,336","2,052","322","14"
"울산광역시 북구 (3120000000)","217,045","217,045","20,329","24,866","23,468","29,991","39,417","38,976","26,565","9,149","3,708","560","16","112,423","112,423","10,411","12,815","13,735","15,997","20,250","19,316","14,125","4,426","1,243","104","1","104,622","104,622","9,918","12,051","9,733","13,994","19,167","19,660","12,440","4,723","2,465","456","15","217,047","217,047","20,246","24,829","23,366","29,878","39,451","39,047","26,747","9,195","3,717","554","17","112,465","112,465","10,377","12,806","13,687","15,968","20,261","19,338","14,224","4,440","1,259","103","2","104,582","104,582","9,869","12,023","9,679","13,910","19,190","19,709","12,523","4,755","2,458","451","15","216,917","216,917","20,136","24,814","23,189","29,879","39,325","39,016","26,992","9,256","3,727","565","18","112,398","112,398","10,328","12,792","13,606","15,996","20,163","19,314","14,359","4,467","1,266","105","2","104,519","104,519","9,808","12,022","9,583","13,883","19,162","19,702","12,633","4,789","2,461","460","16","216,895","216,895","19,991","24,883","23,113","29,885","39,259","38,936","27,188","9,313","3,747","561","19","112,399","112,399","10,247","12,848","13,560","16,015","20,125","19,278","14,460","4,490","1,269","105","2","104,496","104,496","9,744","12,035","9,553","13,870","19,134","19,658","12,728","4,823","2,478","456","17"
"울산광역시 울주군 (3171000000)","218,923","218,923","13,660","21,295","23,190","23,130","33,310","43,604","35,946","16,008","7,566","1,189","25","113,280","113,280","7,034","10,969","13,234","12,615","17,284","22,655","18,855","7,803","2,601","227","3","105,643","105,643","6,626","10,326","9,956","10,515","16,026","20,949","17,091","8,205","4,965","962","22","219,001","219,001","13,577","21,226","23,094","23,143","33,244","43,687","36,135","16,098","7,571","1,201","25","113,351","113,351","6,996","10,953","13,170","12,640","17,276","22,696","18,934","7,841","2,615","226","4","105,650","105,650","6,581","10,273","9,924","10,503","15,968","20,991","17,201","8,257","4,956","975","21","219,112","219,112","13,533","21,134","23,022","23,261","33,091","43,675","36,313","16,252","7,592","1,212","27","113,461","113,461","6,966","10,911","13,131","12,748","17,188","22,691","19,040","7,923","2,635","225","3","105,651","105,651","6,567","10,223","9,891","10,513","15,903","20,984","17,273","8,329","4,957","987","24","219,155","219,155","13,458","21,134","22,976","23,289","32,954","43,689","36,456","16,324","7,626","1,222","27","113,489","113,489","6,949","10,888","13,102","12,778","17,127","22,663","19,132","7,976","2,646","225","3","105,666","105,666","6,509","10,246","9,874","10,511","15,827","21,026","17,324","8,348","4,980","997","24"
"세종특별자치시  (3600000000)","386,944","386,944","43,401","50,847","37,625","59,201","77,261","54,817","37,411","16,576","8,255","1,509","41","192,704","192,704","22,051","25,651","19,107","29,162","38,258","28,691","18,628","7,863","2,977","312","4","194,240","194,240","21,350","25,196","18,518","30,039","39,003","26,126","18,783","8,713","5,278","1,197","37","387,193","387,193","43,204","50,970","37,429","58,866","77,524","55,072","37,622","16,663","8,277","1,526","40","192,836","192,836","21,990","25,685","18,993","29,067","38,325","28,803","18,750","7,913","2,993","313","4","194,357","194,357","21,214","25,285","18,436","29,799","39,199","26,269","18,872","8,750","5,284","1,213","36","387,411","387,411","43,007","51,004","37,316","59,020","77,389","55,276","37,729","16,805","8,275","1,551","39","192,907","192,907","21,884","25,725","18,937","29,156","38,242","28,872","18,783","7,991","2,987","326","4","194,504","194,504","21,123","25,279","18,379","29,864","39,147","26,404","18,946","8,814","5,288","1,225","35","387,726","387,726","42,795","51,145","37,365","59,017","77,254","55,542","37,809","16,852","8,341","1,566","40","193,099","193,099","21,765","25,825","18,976","29,136","38,173","29,026","18,838","8,004","3,024","328","4","194,627","194,627","21,030","25,320","18,389","29,881","39,081","26,516","18,971","8,848","5,317","1,238","36"
"세종특별자치시  (3611000000)","386,944","386,944","43,401","50,847","37,625","59,201","77,261","54,817","37,411","16,576","8,255","1,509","41","192,704","192,704","22,051","25,651","19,107","29,162","38,258","28,691","18,628","7,863","2,977","312","4","194,240","194,240","21,350","25,196","18,518","30,039","39,003","26,126","18,783","8,713","5,278","1,197","37","387,193","387,193","43,204","50,970","37,429","58,866","77,524","55,072","37,622","16,663","8,277","1,526","40","192,836","192,836","21,990","25,685","18,993","29,067","38,325","28,803","18,750","7,913","2,993","313","4","194,357","194,357","21,214","25,285","18,436","29,799","39,199","26,269","18,872","8,750","5,284","1,213","36","387,411","387,411","43,007","51,004","37,316","59,020","77,389","55,276","37,729","16,805","8,275","1,551","39","192,907","192,907","21,884","25,725","18,937","29,156","38,242","28,872","18,783","7,991","2,987","326","4","194,504","194,504","21,123","25,279","18,379","29,864","39,147","26,404","18,946","8,814","5,288","1,225","35","387,726","387,726","42,795","51,145","37,365","59,017","77,254","55,542","37,809","16,852","8,341","1,566","40","193,099","193,099","21,765","25,825","18,976","29,136","38,173","29,026","18,838","8,004","3,024","328","4","194,627","194,627","21,030","25,320","18,389","29,881","39,081","26,516","18,971","8,848","5,317","1,238","36"
"경기도  (4100000000)","13,635,250","13,635,250","984,022","1,320,140","1,677,204","1,877,003","2,254,097","2,342,536","1,838,429","851,513","424,596","63,838","1,872","6,857,867","6,857,867","503,602","675,451","882,405","978,973","1,149,037","1,181,043","917,489","393,702","160,263","15,500","402","6,777,383","6,777,383","480,420","644,689","794,799","898,030","1,105,060","1,161,493","920,940","457,811","264,333","48,338","1,470","13,639,616","13,639,616","979,617","1,319,133","1,671,540","1,872,815","2,254,820","2,345,647","1,847,923","855,491","426,260","64,471","1,899","6,859,811","6,859,811","501,391","675,001","879,075","977,034","1,149,963","1,182,144","922,185","395,865","161,010","15,730","413","6,779,805","6,779,805","478,226","644,132","792,465","895,781","1,104,857","1,163,503","925,738","459,626","265,250","48,741","1,486","13,642,451","13,642,451","974,722","1,316,957","1,666,674","1,877,819","2,247,421","2,346,496","1,856,355","860,695","428,054","65,324","1,934","6,860,823","6,860,823","498,871","674,014","876,362","979,958","1,146,366","1,182,313","926,333","398,475","161,745","15,958","428","6,781,628","6,781,628","475,851","642,943","790,312","897,861","1,101,055","1,164,183","930,022","462,220","266,309","49,366","1,506","13,648,156","13,648,156","970,596","1,317,378","1,661,407","1,882,433","2,240,377","2,350,861","1,863,454","863,125","430,814","65,769","1,942","6,863,252","6,863,252","496,814","674,218","873,327","982,608","1,142,666","1,184,546","929,907","399,738","162,927","16,063","438","6,784,904","6,784,904","473,782","643,160","788,080","899,825","1,097,711","1,166,315","933,547","463,387","267,887","49,706","1,504"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,197,220","1,197,220","82,167","113,202","175,478","184,272","194,622","202,617","146,772","63,079","30,340","4,545","126","602,313","602,313","42,326","58,335","91,539","97,615","98,327","100,459","72,848","28,598","11,150","1,090","26","594,907","594,907","39,841","54,867","83,939","86,657","96,295","102,158","73,924","34,481","19,190","3,455","100","1,196,856","1,196,856","81,603","113,015","175,188","183,865","194,210","202,828","147,598","63,358","30,461","4,607","123","602,190","602,190","42,075","58,218","91,480","97,422","98,192","100,502","73,252","28,732","11,191","1,102","24","594,666","594,666","39,528","54,797","83,708","86,443","96,018","102,326","74,346","34,626","19,270","3,505","99","1,196,818","1,196,818","81,001","112,820","175,043","184,352","193,454","202,694","148,349","63,705","30,598","4,671","131","602,085","602,085","41,749","58,122","91,342","97,736","97,818","100,410","73,625","28,914","11,213","1,131","25","594,733","594,733","39,252","54,698","83,701","86,616","95,636","102,284","74,724","34,791","19,385","3,540","106","1,196,987","1,196,987","80,661","112,587","174,450","185,096","192,703","202,961","148,985","63,902","30,823","4,691","128","602,056","602,056","41,578","58,017","90,914","98,122","97,478","100,507","73,948","29,028","11,299","1,141","24","594,931","594,931","39,083","54,570","83,536","86,974","95,225","102,454","75,037","34,874","19,524","3,550","104"
"경기도 수원시 장안구 (4111100000)","270,959","270,959","15,073","26,215","40,545","33,671","40,858","50,016","37,156","16,991","9,009","1,386","39","136,151","136,151","7,667","13,527","22,172","18,007","20,250","24,794","18,436","7,594","3,379","316","9","134,808","134,808","7,406","12,688","18,373","15,664","20,608","25,222","18,720","9,397","5,630","1,070","30","271,316","271,316","15,066","26,199","40,527","33,682","40,822","50,145","37,325","17,061","9,062","1,389","38","136,314","136,314","7,654","13,508","22,188","18,029","20,228","24,852","18,515","7,627","3,391","314","8","135,002","135,002","7,412","12,691","18,339","15,653","20,594","25,293","18,810","9,434","5,671","1,075","30","271,526","271,526","15,001","26,163","40,553","33,800","40,674","50,105","37,553","17,122","9,098","1,417","40","136,393","136,393","7,635","13,489","22,174","18,098","20,145","24,820","18,650","7,652","3,395","327","8","135,133","135,133","7,366","12,674","18,379","15,702","20,529","25,285","18,903","9,470","5,703","1,090","32","273,317","273,317","15,257","26,180","40,551","34,479","40,818","50,360","37,822","17,200","9,181","1,429","40","137,230","137,230","7,760","13,510","22,104","18,436","20,241","24,942","18,777","7,702","3,418","332","8","136,087","136,087","7,497","12,670","18,447","16,043","20,577","25,418","19,045","9,498","5,763","1,097","32"
"경기도 수원시 권선구 (4111300000)","366,306","366,306","25,295","32,279","49,844","57,295","59,591","62,610","48,871","20,159","8,960","1,375","27","185,101","185,101","13,125","16,606","25,767","30,686","30,898","30,839","24,288","9,294","3,260","334","4","181,205","181,205","12,170","15,673","24,077","26,609","28,693","31,771","24,583","10,865","5,700","1,041","23","365,904","365,904","24,920","32,189","49,752","57,101","59,362","62,622","49,246","20,263","9,020","1,401","28","184,851","184,851","12,939","16,549","25,723","30,590","30,794","30,807","24,488","9,338","3,278","341","4","181,053","181,053","11,981","15,640","24,029","26,511","28,568","31,815","24,758","10,925","5,742","1,060","24","365,844","365,844","24,697","32,111","49,674","57,285","59,122","62,512","49,465","20,447","9,082","1,417","32","184,831","184,831","12,821","16,524","25,634","30,734","30,704","30,745","24,580","9,445","3,289","350","5","181,013","181,013","11,876","15,587","24,040","26,551","28,418","31,767","24,885","11,002","5,793","1,067","27","365,287","365,287","24,379","32,058","49,432","57,324","58,795","62,544","49,623","20,521","9,165","1,417","29","184,551","184,551","12,650","16,491","25,541","30,749","30,552","30,752","24,649","9,481","3,329","352","5","180,736","180,736","11,729","15,567","23,891","26,575","28,243","31,792","24,974","11,040","5,836","1,065","24"
"경기도 수원시 팔달구 (4111500000)","196,921","196,921","11,683","14,014","30,293","32,206","28,661","32,648","26,905","13,269","6,365","848","29","99,145","99,145","6,000","7,251","15,338","17,461","14,909","16,562","13,067","6,001","2,333","217","6","97,776","97,776","5,683","6,763","14,955","14,745","13,752","16,086","13,838","7,268","4,032","631","23","196,573","196,573","11,627","13,961","30,205","32,102","28,555","32,620","26,953","13,301","6,354","868","27","99,005","99,005","5,990","7,201","15,324","17,394","14,896","16,515","13,107","6,013","2,340","219","6","97,568","97,568","5,637","6,760","14,881","14,708","13,659","16,105","13,846","7,288","4,014","649","21","196,326","196,326","11,546","13,893","30,196","32,117","28,394","32,601","26,967","13,320","6,383","881","28","98,835","98,835","5,933","7,156","15,318","17,419","14,783","16,521","13,103","6,020","2,356","220","6","97,491","97,491","5,613","6,737","14,878","14,698","13,611","16,080","13,864","7,300","4,027","661","22","195,864","195,864","11,511","13,783","30,055","32,107","28,151","32,552","27,008","13,367","6,417","885","28","98,608","98,608","5,939","7,100","15,199","17,435","14,660","16,495","13,139","6,038","2,375","223","5","97,256","97,256","5,572","6,683","14,856","14,672","13,491","16,057","13,869","7,329","4,042","662","23"
"경기도 수원시 영통구 (4111700000)","363,034","363,034","30,116","40,694","54,796","61,100","65,512","57,343","33,840","12,660","6,006","936","31","181,916","181,916","15,534","20,951","28,262","31,461","32,270","28,264","17,057","5,709","2,178","223","7","181,118","181,118","14,582","19,743","26,534","29,639","33,242","29,079","16,783","6,951","3,828","713","24","363,063","363,063","29,990","40,666","54,704","60,980","65,471","57,441","34,074","12,733","6,025","949","30","182,020","182,020","15,492","20,960","28,245","31,409","32,274","28,328","17,142","5,754","2,182","228","6","181,043","181,043","14,498","19,706","26,459","29,571","33,197","29,113","16,932","6,979","3,843","721","24","363,122","363,122","29,757","40,653","54,620","61,150","65,264","57,476","34,364","12,816","6,035","956","31","182,026","182,026","15,360","20,953","28,216","31,485","32,186","28,324","17,292","5,797","2,173","234","6","181,096","181,096","14,397","19,700","26,404","29,665","33,078","29,152","17,072","7,019","3,862","722","25","362,519","362,519","29,514","40,566","54,412","61,186","64,939","57,505","34,532","12,814","6,060","960","31","181,667","181,667","15,229","20,916","28,070","31,502","32,025","28,318","17,383","5,807","2,177","234","6","180,852","180,852","14,285","19,650","26,342","29,684","32,914","29,187","17,149","7,007","3,883","726","25"
"경기도 성남시 (4113000000)","919,856","919,856","59,761","83,257","116,231","134,125","147,215","155,051","127,210","62,589","29,592","4,685","140","455,212","455,212","30,357","42,534","59,563","68,912","72,992","77,097","62,248","28,629","11,654","1,193","33","464,644","464,644","29,404","40,723","56,668","65,213","74,223","77,954","64,962","33,960","17,938","3,492","107","919,855","919,855","59,503","83,282","115,883","133,882","147,285","154,929","127,688","62,829","29,716","4,720","138","455,203","455,203","30,236","42,538","59,349","68,808","73,102","76,979","62,478","28,753","11,704","1,222","34","464,652","464,652","29,267","40,744","56,534","65,074","74,183","77,950","65,210","34,076","18,012","3,498","104","919,464","919,464","59,219","83,074","115,558","134,294","146,595","154,742","128,008","63,238","29,828","4,769","139","455,112","455,112","30,135","42,431","59,226","69,092","72,780","76,853","62,622","28,936","11,767","1,233","37","464,352","464,352","29,084","40,643","56,332","65,202","73,815","77,889","65,386","34,302","18,061","3,536","102","918,706","918,706","58,913","82,865","115,169","134,376","146,107","154,612","128,339","63,348","30,044","4,800","133","454,656","454,656","29,979","42,334","59,006","69,139","72,529","76,771","62,793","28,979","11,848","1,241","37","464,050","464,050","28,934","40,531","56,163","65,237","73,578","77,841","65,546","34,369","18,196","3,559","96"
